id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
current_assets,Other Current Assets,101060005,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
stock_valuation,Stock Valuation Account,101030001,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
stock_in,Stock Interim Account (Received),101030002,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,TRUE
stock_out,Stock Interim Account (Delivered),101030004,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,TRUE
receivable,Account Receivable - Customer,101020001,account.data_account_type_receivable,l10n_eg.l10n_eg_account_chart_template,,TRUE
tax_paid,VAT and Sales Tax - Tax Payable - 14.00%,101060010,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
general_withholding_tax,General Withholding Tax Account,101060017,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
prepayments,Pre / Down  payments and payment In advance,101060018,account.data_account_type_prepayments,l10n_eg.l10n_eg_account_chart_template,,FALSE
fixed_assets,Other Fixed Asset,100080001,account.data_account_type_fixed_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
non_current_assets,Non-Current assets,102000001,account.data_account_type_non_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_liabilities,Other Current Liabilities,110040004,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
payable,Account Payable - Supplier,110010001,account.data_account_type_payable,l10n_eg.l10n_eg_account_chart_template,,TRUE
tax_received,VAT and Sales Tax - Tax Received - 14.00%,110030007,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
non_current_liabilities,Non-Current Liabilities,111000001,account.data_account_type_non_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
capital,Capital,120000001,account.data_account_type_equity,l10n_eg.l10n_eg_account_chart_template,,FALSE
dividends,Dividends,120000003,account.data_account_type_equity,l10n_eg.l10n_eg_account_chart_template,,FALSE
income,Revenue,200000001,account.data_account_type_revenue,l10n_eg.l10n_eg_account_chart_template,account.account_tag_operating,FALSE
income_currency_exchange,Foreign Exchange Gain,200000003,account.data_account_type_revenue,l10n_eg.l10n_eg_account_chart_template,account.account_tag_financing,FALSE
cash_diff_income,Cash Exchange Gain,200000004,account.data_account_type_revenue,l10n_eg.l10n_eg_account_chart_template,account.account_tag_investing,FALSE
other_income,Opening Income Account,201000001,account.data_account_type_other_income,l10n_eg.l10n_eg_account_chart_template,,FALSE
cost_of_goods_sold,COGS - Cost Of Goods Sales for Revenue,200100001,account.data_account_type_direct_costs,l10n_eg.l10n_eg_account_chart_template,account.account_tag_operating,FALSE
expense,Other Expenses,210000005,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,account.account_tag_operating,FALSE
