id,name,code
vat_dep_1,الشركات المساهمة بالقاهرة,001
vat_dep_2,المهن الحرة أول,005
vat_dep_3,التفتيش علي المصالح الحكومية القاهرة,006
vat_dep_4,الدمغة,007
vat_dep_5,الاستثمار,014
vat_dep_6,الايلولة,015
vat_dep_7,مصر الجديدة أول,020
vat_dep_8,حلوان,021
vat_dep_9,الشركات المساهمة الاسكندرية,022
vat_dep_10,التفتيش علي المصالح الحكومية الاسكندرية,027
vat_dep_11,مطروح,028
vat_dep_12,الجيزة أول,037
vat_dep_13,الجيزة ثان,038
vat_dep_14,دمنهور أول,039
vat_dep_15,دمنهور ثان,040
vat_dep_16,ايتاي البارود,041
vat_dep_17,كفر الدوار أول,042
vat_dep_18,رشيد,043
vat_dep_19,كوم حمادة,044
vat_dep_20,كفر الشيخ أول,045
vat_dep_21,دسوق أول,046
vat_dep_22,بيلا,047
vat_dep_23,طنطا أول,048
vat_dep_24,طنطا ثان,049
vat_dep_25,المحلة الكبري أول,050
vat_dep_26,المحلة الكبري ثان,051
vat_dep_27,كفر الزيات,052
vat_dep_28,شبين الكوم أول,053
vat_dep_29,شبين الكوم ثان,054
vat_dep_30,منوف,055
vat_dep_31,تلا,056
vat_dep_32,قويسنا,057
vat_dep_33,اشمون,058
vat_dep_34,الشهداء,059
vat_dep_35,الباجور,060
vat_dep_36,بنها أول,061
vat_dep_37,بنها ثان,062
vat_dep_38,قليوب,063
vat_dep_39,شبين القناطر,064
vat_dep_40,الزقازيق أول,065
vat_dep_41,الزقازيق ثان,066
vat_dep_42,فاقوس,067
vat_dep_43,بلبيس,068
vat_dep_44,كفر صقر,069
vat_dep_45,مينا القمح,070
vat_dep_46,ابوكبير,071
vat_dep_47,المنصورة أول,072
vat_dep_48,المنصورة ثان,073
vat_dep_49,ميت غمر أول,074
vat_dep_50,ميت غمر ثان,075
vat_dep_51,دكرنس,076
vat_dep_52,بلقاس,077
vat_dep_53,دمياط أول,078
vat_dep_54,دمياط ثان,079
vat_dep_55,فار سكور,080
vat_dep_56,بورسعيد أول,081
vat_dep_57,بورسعيد ثان,082
vat_dep_58,الاسماعيلية أول,083
vat_dep_59,الاسماعيلية ثان,084
vat_dep_60,العريش,085
vat_dep_61,الفيوم أول,086
vat_dep_62,الفيوم ثان,087
vat_dep_63,سنورس,088
vat_dep_64,بني سويف أول,089
vat_dep_65,بني سويف ثان,090
vat_dep_66,ببا,091
vat_dep_67,المنيا أول,092
vat_dep_68,مغاغة,094
vat_dep_69,ملوي,095
vat_dep_70,بني مزار,096
vat_dep_71,اسيوط أول,097
vat_dep_72,اسيوط ثان,098
vat_dep_73,ابوتيج,099
vat_dep_74,ديروط,100
vat_dep_75,سوهاج أول,101
